epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,378.913,1.11896,5.37254,0.98485,0,0,0,0,0.82131,5.15398,0.83187,4.19894e-05,4.19894e-05,4.19894e-05
2,731.448,0.80065,4.85481,0.84404,0.01095,0.14447,0.01267,0.01105,0.74246,4.64587,0.82214,8.3818e-05,8.3818e-05,8.3818e-05
3,1058.45,0.72121,4.37158,0.82926,0.01427,0.25778,0.01767,0.01575,0.6679,4.14961,0.81761,0.000124802,0.000124802,0.000124802
4,1385.03,0.69518,3.93468,0.82738,0.01659,0.31776,0.02266,0.01971,0.68248,3.81553,0.81819,0.000124198,0.000124198,0.000124198
5,1711.29,0.65448,3.55285,0.82537,0.21593,0.0967,0.02596,0.02315,0.6157,3.52034,0.81278,0.000122931,0.000122931,0.000122931
6,2032.66,0.62763,3.29171,0.82175,0.21164,0.13205,0.0295,0.02588,0.6145,3.34089,0.8136,0.000121664,0.000121664,0.000121664
7,2357.51,0.62203,3.13818,0.81952,0.20475,0.11927,0.03956,0.0347,0.61004,3.20834,0.81113,0.000120397,0.000120397,0.000120397
8,2681.32,0.59075,2.99224,0.81804,0.25102,0.09344,0.05399,0.04847,0.59081,3.08403,0.81239,0.00011913,0.00011913,0.00011913
9,3004.54,0.59419,2.89559,0.81793,0.24568,0.09639,0.06545,0.05906,0.56444,3.00509,0.80926,0.000117862,0.000117862,0.000117862
10,3328.12,0.57615,2.78158,0.81463,0.29491,0.09108,0.07473,0.06692,0.5796,2.93452,0.80998,0.000116595,0.000116595,0.000116595
11,3650.58,0.56083,2.70481,0.81636,0.25431,0.11655,0.08351,0.07577,0.54106,2.8496,0.80696,0.000115328,0.000115328,0.000115328
12,3971.38,0.56376,2.61488,0.81512,0.24207,0.13147,0.09058,0.08189,0.53323,2.83141,0.80717,0.000114061,0.000114061,0.000114061
13,4292.89,0.56538,2.54843,0.81331,0.21972,0.16725,0.11103,0.10021,0.56793,2.74441,0.80712,0.000112794,0.000112794,0.000112794
14,4613.14,0.5474,2.4473,0.81375,0.23906,0.17785,0.1168,0.10788,0.49939,2.64133,0.80131,0.000111526,0.000111526,0.000111526
15,4934.28,0.54371,2.40354,0.81388,0.28813,0.18616,0.13122,0.11893,0.52609,2.60111,0.80048,0.000110259,0.000110259,0.000110259
16,5256.19,0.52646,2.32507,0.81206,0.25679,0.19149,0.1419,0.12762,0.55612,2.52228,0.80586,0.000108992,0.000108992,0.000108992
17,5579.41,0.53412,2.27327,0.81305,0.27848,0.20316,0.15038,0.13735,0.51419,2.49015,0.80135,0.000107725,0.000107725,0.000107725
18,5901.8,0.52848,2.20674,0.81318,0.3515,0.19244,0.16172,0.14682,0.51582,2.44807,0.80018,0.000106458,0.000106458,0.000106458
19,6224.7,0.51579,2.1196,0.81084,0.33537,0.19587,0.16783,0.15439,0.50294,2.40129,0.80215,0.00010519,0.00010519,0.00010519
20,6546.02,0.51434,2.07653,0.81229,0.32406,0.20486,0.17616,0.16072,0.49742,2.37838,0.80293,0.000103923,0.000103923,0.000103923
21,6866.56,0.51612,2.05266,0.81104,0.2989,0.25235,0.18829,0.17135,0.52945,2.32315,0.80263,0.000102656,0.000102656,0.000102656
22,7189.82,0.5151,1.99973,0.81157,0.34354,0.22632,0.20082,0.18473,0.50278,2.24121,0.80187,0.000101389,0.000101389,0.000101389
23,7511.72,0.50681,1.92784,0.81131,0.35475,0.23215,0.21369,0.1966,0.49121,2.23172,0.8037,0.000100122,0.000100122,0.000100122
24,7832.29,0.49417,1.87724,0.81065,0.37026,0.23421,0.2129,0.19108,0.54589,2.18588,0.80496,9.88544e-05,9.88544e-05,9.88544e-05
25,8152.83,0.50869,1.87255,0.80652,0.34818,0.24799,0.22218,0.20434,0.47646,2.16309,0.79953,9.75872e-05,9.75872e-05,9.75872e-05
26,8474.95,0.50589,1.83897,0.81043,0.4279,0.22631,0.24144,0.22153,0.49867,2.13283,0.80279,9.632e-05,9.632e-05,9.632e-05
27,8794.89,0.50064,1.79935,0.80869,0.45357,0.23671,0.24942,0.22944,0.49219,2.094,0.80073,9.50528e-05,9.50528e-05,9.50528e-05
28,9116.18,0.50294,1.76109,0.80889,0.40635,0.27073,0.26865,0.24638,0.50268,2.04705,0.80426,9.37856e-05,9.37856e-05,9.37856e-05
29,9438.39,0.48818,1.70497,0.80673,0.42804,0.26397,0.27049,0.24822,0.47578,2.02206,0.80149,9.25184e-05,9.25184e-05,9.25184e-05
30,9759.54,0.49269,1.69173,0.80652,0.43864,0.2674,0.2748,0.2484,0.52666,1.99826,0.8069,9.12512e-05,9.12512e-05,9.12512e-05
31,10080.3,0.49205,1.65313,0.80865,0.47587,0.2757,0.28589,0.26398,0.46478,1.95609,0.80013,8.9984e-05,8.9984e-05,8.9984e-05
32,10400,0.47687,1.61092,0.80791,0.39206,0.27702,0.2857,0.2637,0.46879,1.97846,0.80104,8.87168e-05,8.87168e-05,8.87168e-05
33,10722.9,0.49323,1.61736,0.80808,0.49791,0.28889,0.29892,0.27125,0.49969,1.92808,0.80344,8.74496e-05,8.74496e-05,8.74496e-05
34,11043.2,0.48401,1.59686,0.80763,0.43651,0.30634,0.29775,0.27308,0.47558,1.88678,0.79951,8.61824e-05,8.61824e-05,8.61824e-05
35,11364.5,0.47516,1.54943,0.80596,0.44972,0.29543,0.3043,0.27931,0.4798,1.92702,0.80096,8.49152e-05,8.49152e-05,8.49152e-05
36,11684.8,0.47194,1.51547,0.80632,0.47379,0.2984,0.31332,0.28667,0.47805,1.88383,0.80141,8.3648e-05,8.3648e-05,8.3648e-05
37,12006.2,0.47042,1.51376,0.80548,0.44348,0.32626,0.32237,0.29374,0.48101,1.85851,0.79762,8.23808e-05,8.23808e-05,8.23808e-05
38,12328.5,0.48612,1.48994,0.80715,0.45035,0.30736,0.32167,0.29394,0.47145,1.83949,0.79949,8.11136e-05,8.11136e-05,8.11136e-05
39,12649.8,0.47284,1.46562,0.80569,0.44787,0.30876,0.31697,0.29177,0.4624,1.80694,0.79748,7.98464e-05,7.98464e-05,7.98464e-05
40,12970.6,0.47489,1.44209,0.80611,0.44222,0.32572,0.3358,0.30781,0.46864,1.77279,0.79746,7.85792e-05,7.85792e-05,7.85792e-05
41,13290.6,0.46995,1.41667,0.80736,0.51881,0.30067,0.33473,0.30935,0.45384,1.75959,0.79579,7.7312e-05,7.7312e-05,7.7312e-05
42,13611.4,0.47176,1.41713,0.80151,0.50587,0.31499,0.34198,0.31345,0.48005,1.74264,0.79991,7.60448e-05,7.60448e-05,7.60448e-05
43,13931.3,0.46326,1.38243,0.80601,0.54321,0.31015,0.3522,0.32341,0.46941,1.70985,0.79968,7.47776e-05,7.47776e-05,7.47776e-05
44,14253.3,0.47194,1.3745,0.80524,0.49501,0.31268,0.35722,0.32852,0.45279,1.72037,0.7967,7.35104e-05,7.35104e-05,7.35104e-05
45,14573.3,0.45038,1.35206,0.80482,0.53031,0.30216,0.35499,0.32754,0.44019,1.71622,0.79527,7.22432e-05,7.22432e-05,7.22432e-05
46,14895.1,0.45419,1.35723,0.80577,0.51181,0.32224,0.36476,0.33374,0.46028,1.67739,0.79888,7.0976e-05,7.0976e-05,7.0976e-05
47,15216.8,0.45532,1.32851,0.80411,0.44226,0.35716,0.36217,0.33107,0.46852,1.64538,0.79632,6.97088e-05,6.97088e-05,6.97088e-05
48,15538.1,0.45781,1.30866,0.80458,0.52793,0.32092,0.37104,0.3401,0.45729,1.64854,0.79726,6.84416e-05,6.84416e-05,6.84416e-05
49,15858.2,0.45398,1.28919,0.8044,0.50418,0.35557,0.38044,0.34774,0.46162,1.66401,0.79829,6.71744e-05,6.71744e-05,6.71744e-05
50,16179.8,0.43981,1.26867,0.80553,0.48944,0.32906,0.3698,0.33962,0.44959,1.6496,0.79538,6.59072e-05,6.59072e-05,6.59072e-05
51,16501.1,0.45321,1.2794,0.80262,0.46103,0.37244,0.37537,0.34412,0.46308,1.61994,0.79767,6.464e-05,6.464e-05,6.464e-05
52,16824.2,0.45856,1.25955,0.80182,0.48032,0.36838,0.37568,0.34098,0.47645,1.62921,0.79886,6.33728e-05,6.33728e-05,6.33728e-05
53,17145.9,0.44784,1.23018,0.80218,0.48324,0.35604,0.383,0.3503,0.45631,1.59463,0.79743,6.21056e-05,6.21056e-05,6.21056e-05
54,17467.9,0.4458,1.22441,0.80231,0.49364,0.36107,0.39425,0.36292,0.43962,1.56588,0.79409,6.08384e-05,6.08384e-05,6.08384e-05
55,17788.5,0.44554,1.23997,0.80112,0.49244,0.37185,0.39188,0.35766,0.46104,1.55486,0.79581,5.95712e-05,5.95712e-05,5.95712e-05
56,18110.4,0.44942,1.21667,0.80376,0.53274,0.34818,0.40053,0.36828,0.4326,1.56208,0.79357,5.8304e-05,5.8304e-05,5.8304e-05
57,18431.8,0.44538,1.19887,0.80229,0.52401,0.33309,0.38606,0.35543,0.43234,1.57118,0.79392,5.70368e-05,5.70368e-05,5.70368e-05
58,18751.2,0.4474,1.19277,0.80072,0.47147,0.39075,0.39984,0.36645,0.44829,1.53639,0.79422,5.57696e-05,5.57696e-05,5.57696e-05
59,19072.7,0.44727,1.20171,0.80251,0.58043,0.33652,0.4062,0.37136,0.45501,1.53459,0.79342,5.45024e-05,5.45024e-05,5.45024e-05
60,19392.7,0.4394,1.17059,0.80121,0.52569,0.37713,0.40929,0.37618,0.44242,1.52533,0.79413,5.32352e-05,5.32352e-05,5.32352e-05
61,19713.2,0.42875,1.16047,0.80138,0.52849,0.36531,0.40926,0.37631,0.44795,1.50856,0.7956,5.1968e-05,5.1968e-05,5.1968e-05
62,20032.6,0.435,1.13981,0.80004,0.49321,0.38253,0.4041,0.3728,0.42817,1.51389,0.793,5.07008e-05,5.07008e-05,5.07008e-05
63,20353.6,0.43247,1.13269,0.79876,0.57626,0.35092,0.41682,0.38535,0.41984,1.47295,0.79415,4.94336e-05,4.94336e-05,4.94336e-05
64,20674.6,0.4295,1.1155,0.80387,0.5724,0.34642,0.41361,0.38043,0.42801,1.47117,0.79313,4.81664e-05,4.81664e-05,4.81664e-05
65,20995.9,0.42901,1.11557,0.79813,0.57981,0.36563,0.42104,0.3877,0.43027,1.47456,0.79239,4.68992e-05,4.68992e-05,4.68992e-05
66,21317.2,0.42811,1.10759,0.79947,0.54492,0.37716,0.42408,0.39002,0.43019,1.45495,0.7939,4.5632e-05,4.5632e-05,4.5632e-05
67,21639.5,0.43412,1.11897,0.80188,0.61659,0.33971,0.4212,0.38742,0.42245,1.47143,0.79242,4.43648e-05,4.43648e-05,4.43648e-05
68,21960.5,0.42817,1.0861,0.80005,0.58083,0.34468,0.41816,0.3859,0.42339,1.48583,0.79319,4.30976e-05,4.30976e-05,4.30976e-05
69,22282.2,0.43507,1.11549,0.8006,0.59863,0.33752,0.42223,0.38706,0.43124,1.47953,0.79422,4.18304e-05,4.18304e-05,4.18304e-05
70,22602.5,0.42676,1.08422,0.79797,0.57552,0.35931,0.41632,0.38269,0.43161,1.46871,0.79402,4.05632e-05,4.05632e-05,4.05632e-05
71,22923,0.42017,1.07394,0.79992,0.5403,0.38327,0.41992,0.38804,0.42118,1.44932,0.79262,3.9296e-05,3.9296e-05,3.9296e-05
72,23244.5,0.43107,1.09404,0.79912,0.54665,0.37239,0.43014,0.39456,0.43601,1.43638,0.79345,3.80288e-05,3.80288e-05,3.80288e-05
73,23575.1,0.42301,1.06826,0.79886,0.57947,0.35095,0.42859,0.39543,0.41721,1.44074,0.79261,3.67616e-05,3.67616e-05,3.67616e-05
74,23938.6,0.42968,1.07304,0.79773,0.54559,0.36829,0.42849,0.39491,0.4201,1.44894,0.79202,3.54944e-05,3.54944e-05,3.54944e-05
